V_L,V_R,velocity,acc,omega,alpha
1.735000,1.387400,0.039200,-26.139000,0.073304,6.553711
2.912400,1.726400,0.156800,13.258000,0.794125,20.193459
2.182800,2.029000,0.209100,26.516000,-0.061087,11.318460
1.495800,1.423200,0.261300,-12.881000,0.132645,57.779125
1.367400,1.126000,0.274400,13.258000,-0.059341,12.322025
1.378800,1.091600,0.274400,0.377000,-0.038397,17.627825
1.087600,0.814800,0.287500,-12.881000,-0.027925,2.242748
1.197800,0.832800,0.274400,-26.139000,-0.006981,3.970624
1.203400,0.787000,0.274400,-12.881000,-0.008727,60.955624
0.943000,0.591000,0.287500,13.258000,-0.040143,-6.091199
3.002000,-1.311200,0.248300,26.516000,-0.865683,-156.617120
1.005000,-1.305200,0.313600,-26.139000,-9.955358,104.108890
2.332000,-1.786800,0.274400,-26.139000,-11.744321,-92.371551
2.386600,-2.299800,0.300500,0.000000,-11.843804,13.814281
2.506400,-0.827200,0.248300,-25.762000,-10.948450,157.027273
1.823800,0.112200,0.248300,26.516000,-6.949901,140.254659
1.205200,2.112200,0.222100,-12.881000,-0.834267,-190.834300
1.413800,1.466800,0.261300,13.258000,0.082030,-1.963495
0.792200,0.849600,0.300500,13.258000,0.174533,-31.276300
1.089800,1.280600,0.261300,13.258000,0.143117,49.410271
-1.777800,2.988600,0.287500,12.881000,4.420919,-160.997897
-2.614400,2.476000,0.313600,-26.139000,9.759881,6.326819
-1.508400,3.085600,0.235200,26.139000,11.952015,-156.896373
-1.667400,2.562400,0.274400,26.516000,11.932816,93.453655
-0.252200,1.905200,0.235200,-12.881000,10.292207,213.986093
0.696600,0.763000,0.261300,13.258000,5.167920,-198.932628
1.168400,0.903000,0.248300,-12.881000,-0.080285,34.854225
1.481200,0.864800,0.248300,13.258000,-0.094248,-63.076199
1.193400,0.577200,0.274400,-12.881000,-0.181514,-29.042279
1.298800,0.427000,0.274400,13.258000,-0.169297,-49.549897
1.865800,1.024800,0.235200,26.516000,-0.275762,-18.640116
1.514200,0.731000,0.261300,-12.881000,-0.228638,70.048789
1.164600,0.248800,0.287500,13.258000,-0.150098,25.228734
1.692000,0.797400,0.248300,26.516000,-0.151844,-44.654249
1.283800,0.524800,0.274400,-12.881000,-0.125664,-19.853120
0.968200,0.355200,0.287500,0.000000,-0.132645,-6.073746
1.499200,0.945800,0.248300,13.258000,-0.078540,28.134708
1.178600,1.044200,0.261300,13.258000,-0.005236,-68.783426
1.348400,1.138200,0.248300,0.377000,0.064577,5.061455
1.270400,0.920400,0.261300,13.258000,0.118682,-34.295720
1.079600,0.869000,0.274400,-26.139000,-0.024435,-4.939282
0.658800,0.488600,0.300500,-26.139000,-0.015708,-67.291169
1.206200,0.983200,0.261300,13.258000,0.031416,30.281462
1.085000,0.900400,0.274400,0.000000,-0.027925,-73.862334
0.871600,0.699800,0.287500,13.258000,0.020944,2.146755
1.116200,0.737000,0.274400,-26.139000,0.141372,-45.806166
1.414600,1.200800,0.248300,26.516000,-0.057596,15.149458
0.891800,0.637600,0.287500,13.258000,-0.020944,-72.815136
0.975600,0.808800,0.274400,13.258000,-0.090757,70.162236
1.640800,0.981000,0.248300,-12.881000,0.019199,-21.039944
1.117200,0.932000,0.261300,-12.881000,-0.012217,-2.260201
1.540000,-1.806000,0.339800,0.377000,-4.909611,120.427718
2.383600,-2.520000,0.313600,26.139000,-9.526007,32.428217
2.575400,-2.286600,0.287500,-12.881000,-11.445869,-84.709555
2.329800,-0.764200,0.235200,0.377000,-12.489576,91.228360
2.572200,-0.133600,0.222100,-12.881000,-10.126400,-100.112086
0.993200,0.553000,0.261300,-26.139000,-5.183628,28.736846
1.515800,1.402600,0.235200,-12.881000,0.301942,32.873276
0.883000,1.176000,0.274400,-12.881000,0.109956,-4.895649
0.508000,0.774000,0.300500,-26.139000,0.172788,12.793263
1.269200,1.340000,0.248300,13.258000,0.202458,-55.457837
1.172400,1.180800,0.261300,-12.881000,0.130900,3.752458
0.929200,0.932600,0.274400,-12.881000,0.059341,55.597463
1.432400,0.993600,0.248300,-12.881000,0.005236,18.081611
0.898200,0.987000,0.274400,13.258000,0.055851,-45.588000
0.839200,0.980600,0.274400,13.258000,0.099484,-8.779006
1.016400,1.048200,0.261300,13.258000,0.160570,-36.957347
0.745400,0.753200,0.287500,-26.139000,0.111701,74.298666
1.039400,0.422600,0.287500,13.258000,-0.064577,9.494591
1.072200,0.257600,0.287500,-26.139000,-0.054105,46.495571
1.511200,0.982000,0.248300,13.258000,-0.218166,58.547070
1.118600,0.732000,0.274400,13.258000,-0.123918,-25.324727
0.682600,0.703800,0.287500,-26.139000,0.082030,-9.328785
0.881600,1.262000,0.261300,13.258000,0.303687,-45.998152
1.004000,1.192600,0.261300,26.516000,0.207694,-49.200832
0.679600,0.704200,0.287500,13.258000,0.139626,0.000000
1.363600,1.101800,0.248300,-12.881000,-0.015708,55.518923
1.054400,0.853800,0.274400,13.258000,-0.041888,-5.017822
1.214600,0.910600,0.261300,0.377000,0.033161,-2.818707
1.272600,0.840200,0.261300,-26.139000,0.040143,0.602139
1.323200,0.912000,0.261300,-26.139000,-0.024435,-2.391101
0.337200,0.844200,0.287500,13.258000,0.024435,35.273104
-1.777000,-0.331800,0.418200,-12.881000,7.782423,153.021742
-3.179000,2.291800,0.352800,0.000000,9.480628,-43.641958
-1.298000,2.347400,0.261300,26.139000,12.353440,-185.641946
-0.981400,2.329800,0.261300,-26.139000,11.931071,-108.254047
-0.084600,2.192200,0.248300,13.258000,9.056513,-193.574467
1.507400,1.073000,0.248300,-26.139000,3.361504,-255.114776
1.256800,1.135400,0.274400,-12.881000,0.034907,2.155482
1.182000,0.676000,0.287500,26.516000,0.006981,-36.381388
1.788000,0.988400,0.248300,0.377000,-0.041888,-78.941242
1.247800,0.459400,0.287500,26.516000,-0.230383,-8.840093
1.271600,0.198600,0.287500,-26.139000,-0.132645,-81.541783
1.395800,0.394200,0.274400,-26.139000,-0.239110,-2.626721
1.231800,0.625600,0.274400,-12.881000,-0.321141,57.063540
1.234600,0.502800,0.274400,-12.881000,-0.125664,14.739306
1.298800,0.831600,0.261300,0.000000,-0.280998,-43.257985
1.197200,1.427800,0.248300,13.258000,-0.179769,7.347836
1.051600,0.874600,0.274400,13.258000,0.160570,-88.662726
1.545800,1.459000,0.235200,-12.881000,0.036652,-64.001224
0.838000,0.921800,0.287500,0.000000,-0.120428,38.126717
1.128600,0.566000,0.274400,26.516000,0.108210,18.360864
3.185600,-0.857800,0.209100,-25.385000,-5.061455,195.756129
2.293800,-3.236600,0.339800,-26.139000,-9.306096,-171.277886
0.883800,-0.544400,0.287500,26.516000,-13.978342,-208.627932
1.467400,0.469600,0.235200,26.516000,-13.344787,53.258722
2.451200,-0.631000,0.261300,13.258000,-9.107128,-29.277898
0.723200,1.244000,0.248300,-26.139000,-4.686209,235.340196
1.471600,1.269600,0.248300,-26.139000,0.230383,-97.965331
0.770000,0.967200,0.287500,-26.139000,0.122173,18.186331
0.879800,1.094800,0.274400,13.258000,0.219911,-12.348204
1.291800,1.393800,0.248300,-12.881000,0.275762,-51.871185
0.875600,1.109800,0.274400,26.516000,0.179769,-30.743975
1.004400,1.135400,0.261300,0.377000,0.214675,-3.455752
0.874000,0.975800,0.274400,0.000000,0.144862,21.964969
0.869800,1.002600,0.274400,-12.881000,0.054105,18.893189
1.056200,1.053000,0.261300,-12.881000,0.123918,-9.747664
1.320000,1.150400,0.248300,26.516000,0.095993,15.542157
1.107400,0.754400,0.274400,26.516000,-0.073304,-15.009832
1.054400,0.665200,0.274400,13.258000,-0.019199,5.899213
1.442200,1.000800,0.248300,0.000000,0.020944,-63.556165
1.087400,0.980800,0.287500,-26.139000,0.064577,-35.159658
3.352200,-1.221600,0.235200,26.139000,-2.965314,201.472082
3.327600,-1.915400,0.235200,-25.385000,-8.717920,-149.103478
2.739600,-2.207800,0.274400,-26.139000,-11.461577,-167.900674
2.840600,-2.120800,0.261300,0.377000,-11.287044,108.044607
2.340000,-0.547400,0.235200,0.377000,-10.412634,-236.300127
1.375800,-0.394000,0.274400,-12.881000,-5.410521,215.059470
0.641800,1.042000,0.248300,-12.881000,-0.186750,180.196518
0.658600,0.884800,0.274400,-26.139000,0.054105,98.881629
0.239200,1.357800,0.274400,13.258000,0.464258,-67.081730
0.242400,1.652600,0.261300,-26.139000,0.548033,52.054445
0.631600,1.718000,0.248300,-12.881000,0.710349,47.184976
0.014800,0.948800,0.300500,-26.139000,0.457276,-113.708201
0.510000,1.006200,0.274400,13.258000,0.370010,15.725417
1.448600,1.218600,0.235200,13.258000,0.050615,-26.616271
0.934400,0.472600,0.287500,0.000000,-0.094248,-45.849799
1.402800,0.600000,0.261300,13.258000,-0.092502,-41.172317
0.927000,0.046600,0.300500,0.000000,-0.104720,-20.638518
1.860400,1.077000,0.235200,13.258000,-0.078540,-70.258229
1.629600,1.055800,0.248300,13.258000,-0.338594,-10.166543
1.542000,0.862000,0.261300,-26.139000,-0.181514,-0.191986
1.242600,0.577600,0.287500,26.139000,-0.144862,-71.410146
1.005600,0.242600,0.300500,-12.881000,-0.048869,23.911011
0.073400,-0.769600,0.261300,13.258000,-0.027925,-14.634586
-0.748400,-1.196000,0.196000,0.000000,-0.188496,27.366763
-0.247800,-0.676600,0.130600,-26.139000,-0.106465,57.918751
-1.097200,-1.512600,0.052200,26.139000,-0.015708,12.156218
-0.743200,-1.214600,-0.013000,0.000000,-0.005236,-9.450958
-0.951000,-0.999600,-0.013000,0.000000,-0.006981,49.096112
-0.820000,-1.265400,0.000000,0.000000,0.034907,-46.155232
-1.068600,-1.023800,0.000000,0.000000,-0.095993,6.239552
-0.984800,-1.091000,0.000000,0.000000,0.054105,9.258972
-1.009600,-1.075800,0.000000,0.000000,0.010472,-0.410152
-1.012800,-1.070600,0.000000,0.000000,0.001745,-3.019420
-1.013400,-1.070600,0.000000,0.000000,0.001745,3.141593
-1.021800,-1.072600,0.000000,0.000000,-0.003491,9.180432
-1.013600,-1.071800,0.000000,0.000000,0.003491,-3.106686
-1.021200,-1.074600,0.000000,0.000000,0.000000,-3.490658
1.232000,1.232000,0.026100,-26.139000,0.108210,15.341444
1.240200,1.240200,0.052200,-26.139000,-0.041888,27.715828
1.241400,1.241400,0.078400,-26.139000,-0.019199,12.278391
1.243000,1.243000,0.104500,-26.139000,0.099484,-5.681047
1.235200,1.235200,0.130600,0.000000,0.043633,30.133110
1.238000,1.238000,0.013000,0.000000,-0.143117,12.679817
1.239200,1.239200,0.000000,0.000000,0.061087,-5.960299
0.887800,0.887800,0.000000,0.000000,0.005236,-2.871067
0.889000,0.889000,0.000000,0.000000,-0.001745,10.044370
0.889200,0.889200,0.000000,0.000000,-0.003491,9.215338
0.888200,0.888200,0.000000,0.000000,0.001745,0.000000
1.780400,-1.912400,0.013000,-13.258000,-0.097738,-18.509217
2.690400,-2.427000,-0.026100,0.000000,-3.591888,-139.067835
2.421600,-2.290200,-0.013000,26.139000,-7.098254,-29.356438
2.134800,-2.397400,0.026100,26.139000,-9.995501,199.229334
1.430400,-1.167000,-0.026100,-12.881000,-11.466813,-191.375352
1.334400,-0.148200,-0.117600,-26.139000,-10.494665,209.640223
2.424000,-2.155400,-0.026100,26.139000,-5.309292,-106.482538
2.149200,-2.015000,-0.013000,26.139000,-3.645993,-58.424897
2.822600,-2.294400,-0.052200,26.516000,-1.331686,-260.987809
2.104800,-1.974000,-0.013000,0.000000,-3.899066,-1.754056
1.960400,-2.090400,0.013000,12.881000,-6.318092,187.622894
2.667000,-2.538200,-0.013000,26.516000,-7.785914,46.417031
1.093400,-1.093400,0.000000,26.139000,-13.206906,283.807989
2.693800,-2.161600,-0.052200,26.516000,-8.719665,-118.315870
1.995800,-1.995800,0.000000,-26.139000,-7.552040,24.678956
1.964400,-1.964400,0.000000,0.000000,-4.984660,171.705492
2.026400,-1.761800,-0.026100,13.258000,-2.310816,126.641090
2.433400,0.998200,0.026100,-13.258000,-1.303761,-183.521371
3.131000,2.807800,0.104500,-26.139000,-0.260054,-212.520016
1.548400,1.730600,0.222100,13.258000,0.319395,-21.537363
1.170400,1.694600,0.248300,26.516000,0.366519,98.462750
0.765400,1.393800,0.274400,26.516000,0.394444,18.509217
0.970600,1.371400,0.261300,13.258000,0.446804,7.819075
1.975200,1.225400,0.235200,26.516000,0.373500,-12.313298
1.182200,0.818200,0.287500,0.000000,-0.066323,5.262168
1.160800,0.668600,0.287500,26.139000,-0.019199,-66.418505
1.384800,0.765600,0.274400,0.377000,0.066323,-11.990412
1.544200,1.418200,0.248300,26.516000,-0.308923,142.366507
1.379200,0.891200,0.274400,13.258000,0.034907,-20.655972
1.859800,1.511200,0.235200,-26.139000,-0.015708,-48.773226
0.996800,0.767400,0.300500,-26.139000,-0.076794,80.354959
1.241600,0.894800,0.274400,-26.139000,-0.010472,-0.366519
1.290400,0.642400,0.274400,26.516000,0.118682,13.229596
1.591600,1.064400,0.235200,26.516000,-0.059341,-91.027647
-1.971600,2.892800,0.313600,-12.881000,2.488840,232.765835
0.137400,1.963600,0.209100,-13.258000,11.100294,224.466795
-1.703400,2.335200,0.274400,26.139000,11.550589,-17.941985
-1.357600,3.111800,0.222100,13.258000,11.452851,-129.704143
-0.936000,2.635000,0.235200,0.000000,9.979793,-156.512400
-0.295000,1.418200,0.274400,0.000000,5.539675,-171.897478
0.879800,0.710000,0.261300,13.258000,0.380482,-110.994214
1.495600,1.186400,0.235200,-12.881000,0.101229,-42.376594
1.667800,1.175000,0.235200,-12.881000,-0.071558,-64.690629
1.776800,-0.167400,0.274400,13.258000,-0.176278,0.139626
3.192600,-2.180200,0.274400,-26.139000,-6.054547,-81.890848
3.306600,-1.281000,0.169900,-12.881000,-10.583677,204.351875
2.346200,-1.340800,0.261300,0.000000,-12.751376,94.474672
2.375400,-0.896800,0.248300,-12.881000,-11.920599,5.139995
1.811000,0.008200,0.261300,13.258000,-8.948303,174.332212
1.090400,1.437400,0.248300,13.258000,-2.848377,198.313036
1.451200,1.238800,0.261300,-26.139000,-0.055851,-6.274459
1.040600,0.824000,0.287500,13.258000,0.144862,-35.203291
1.366600,1.350200,0.248300,13.258000,0.095993,-31.887165
2.493600,-2.040600,0.326700,13.258000,-1.836086,-198.592289
2.468400,-1.838000,0.274400,0.000000,-8.621926,241.902634
2.403200,-1.964000,0.287500,-26.139000,-11.615166,143.378798
2.582200,-1.501600,0.248300,26.516000,-11.847295,64.926248
1.927800,-0.047800,0.222100,26.516000,-11.334168,-213.654480
1.239000,1.035800,0.248300,26.516000,-6.757915,176.906573
1.511400,1.714400,0.235200,-25.762000,0.146608,64.280476
0.609200,1.113400,0.287500,-12.881000,0.176278,62.552600
-2.716000,2.424400,0.339800,-13.258000,4.787438,-18.430677
-0.925200,1.994200,0.248300,-12.881000,11.470304,252.714949
-1.758200,3.143600,0.235200,0.377000,11.856022,201.655342
-1.532000,2.014800,0.287500,26.139000,12.416272,-93.287848
-0.773600,2.170200,0.261300,-12.881000,9.639453,-183.320658
1.495000,1.174800,0.235200,13.258000,4.399975,-203.261044
1.275200,1.122800,0.274400,-13.258000,-0.083776,28.265607
1.108800,0.504600,0.300500,-26.516000,-0.022689,-47.394416
1.592600,0.155400,0.287500,-26.139000,-0.357792,-11.161381
1.898800,0.472400,0.261300,-25.762000,-0.555015,34.103734
1.327000,-0.224800,0.300500,13.258000,-0.322886,17.069320
1.374600,0.199200,0.274400,-26.139000,-0.507891,82.588980
1.650800,0.646800,0.248300,-12.881000,-0.340339,-137.881011
1.141000,0.711400,0.261300,0.377000,-0.094248,-25.918139
1.063800,0.753800,0.261300,13.258000,-0.034907,16.388642
1.449200,1.298000,0.235200,-26.138000,-0.024435,-54.925511
1.123000,0.995600,0.261300,-12.881000,0.087266,-30.656708
1.074600,0.994400,0.261300,13.258000,0.115192,0.445059
1.297000,1.273200,0.248300,-26.139000,0.115192,9.084439
0.938000,0.955800,0.274400,-26.139000,0.071558,-14.355333
-1.241000,3.366400,0.235200,-12.881000,2.947861,-98.820542
-2.096600,3.314800,0.222100,0.377000,8.443903,9.834930
-1.876600,2.869200,0.261300,26.139000,11.533136,-112.591190
-0.309200,1.602400,0.235200,26.516000,13.578662,-87.327549
-1.586400,1.875400,0.300500,-12.881000,10.211921,187.745067
0.124600,1.723400,0.248300,-26.139000,5.543166,-194.098066
0.903400,1.128200,0.274400,0.000000,0.244346,43.092179
1.052000,0.991000,0.274400,-26.139000,0.059341,11.711159
1.100000,0.492400,0.287500,0.000000,0.040143,-77.841685
2.294000,0.738200,0.235200,-12.881000,-0.267035,-104.300876
1.687000,0.261000,0.261300,13.258000,-0.701622,-21.921335
1.031800,0.461800,0.274400,26.516000,-0.239110,86.559604
0.917800,0.442200,0.274400,-26.139000,-0.033161,52.290064
1.574400,1.317000,0.222100,26.516000,0.017453,31.599186
0.998800,0.932600,0.261300,13.258000,0.111701,-39.950587
1.138200,1.154600,0.261300,-12.881000,-0.038397,58.503436
0.997200,0.880200,0.274400,13.258000,0.123918,-18.936822
1.576000,1.345600,0.235200,-25.762000,0.116937,-49.122292
0.901400,0.763000,0.287500,-26.139000,0.013963,-2.993240
0.818200,0.343600,0.300500,-26.139000,-0.068068,4.049164
1.221000,1.276800,0.248300,13.258000,0.108210,48.773226
0.928600,1.044200,0.274400,26.516000,0.092502,27.689649
0.848400,1.022000,0.274400,13.258000,0.139626,-30.857421
0.902200,0.906400,0.274400,0.000000,0.265290,-4.276057
1.602200,1.010600,0.248300,-12.881000,-0.078540,-25.368361
1.340200,0.485600,0.274400,13.258000,-0.048869,-96.429441
1.394600,0.638000,0.261300,13.258000,-0.226893,-6.283185
1.363000,0.757200,0.261300,-26.139000,-0.157080,61.906828
1.106000,0.600000,0.274400,26.516000,-0.092502,61.592669
1.101600,0.499400,0.274400,-26.139000,0.034907,-21.668263
1.113200,0.587200,0.274400,26.139000,-0.033161,13.622295
1.017400,1.055600,0.261300,-12.881000,0.148353,3.481932
0.773600,0.855000,0.274400,-12.881000,0.120428,120.541165
1.189000,1.240800,0.248300,13.258000,0.137881,55.265851
0.713400,0.775000,0.287500,-26.139000,0.151844,-117.478112
1.238000,0.098400,0.287500,13.258000,-0.242601,13.439035
1.815400,0.549600,0.248300,13.258000,-0.333358,39.985493
1.244800,0.077800,0.287500,-26.139000,-0.279253,48.921579
1.202200,-0.087000,0.287500,-12.881000,-0.169297,80.162972
1.472000,0.333400,0.261300,-26.139000,-0.242601,-39.915680
1.100000,0.826400,0.261300,-12.881000,-0.078540,14.477506
0.622600,0.876200,0.274400,-26.139000,0.054105,9.712757
0.578000,1.137600,0.274400,-12.881000,0.296706,-27.707102
1.321800,1.042400,0.248300,0.377000,-0.057596,46.172685
1.165600,0.698200,0.274400,26.139000,-0.132645,22.113322
0.846200,0.267600,0.300500,0.000000,-0.097738,-2.600541
1.355200,0.715200,0.261300,-12.881000,-0.087266,-18.378317
1.350400,0.815400,0.261300,-26.139000,-0.085521,14.817845
0.805000,1.018800,0.274400,13.258000,0.504400,55.946529
0.678200,1.035600,0.274400,-26.139000,0.228638,-20.900318
1.186800,1.302800,0.248300,-12.881000,0.287979,-6.274459
0.868000,0.988200,0.274400,13.258000,0.188496,-43.292892
0.868200,0.903000,0.274400,-26.139000,0.158825,-29.836404
1.184400,0.998400,0.261300,-26.139000,0.146608,40.160026
1.002200,0.581800,0.287500,-26.139000,0.015708,-61.479223
1.139600,0.659000,0.274400,13.258000,0.000000,3.569198
1.019000,0.642000,0.287500,-13.258000,-0.104720,9.416051
2.700000,-1.591600,0.248300,1.131000,-9.882054,209.029358
2.454200,-1.557000,0.261300,13.258000,-11.744321,245.262393
1.579000,0.187400,0.235200,-12.881000,-13.252285,229.344990
2.757600,-0.082200,0.196000,-26.139000,-9.810496,278.510915
1.664400,1.156000,0.235200,-12.881000,-4.986406,145.708812
